,排名,排名变化,高校名称,高校类型,高校条件,所在地,综合分数,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
79,80,0.0,华北电力大学,理工,"['一流学科', '211']",北京,263.2,27.1,16.2,4.0,35.0,129.5,17.4,8.7,5.1,6.5,13.6
80,81,-8.0,东华大学,理工,"['一流学科', '211']",上海,262.8,28.9,17.4,3.7,37.8,126.7,17.4,5.3,6.3,4.5,14.9
81,82,-4.0,合肥工业大学,理工,"['一流学科', '211']",安徽,262.7,26.2,21.3,3.8,36.6,132.7,20.3,2.6,4.3,3.3,11.5
82,83,1.0,云南大学,综合,"['一流大学B类', '211']",云南,262.1,29.5,23.0,4.6,31.6,128.2,18.3,0.3,7.9,6.8,11.9
83,84,-9.0,宁波大学,综合,['一流学科'],浙江,261.4,27.7,15.4,4.7,37.4,132.7,18.6,1.4,4.6,5.6,13.3
84,85,0.0,首都师范大学,师范,['一流学科'],北京,261.1,29.9,23.1,5.5,38.4,120.4,16.8,0.2,8.0,7.0,11.8
85,86,-1.0,湖南师范大学,师范,"['一流学科', '211']",湖南,259.6,27.9,20.6,3.0,35.2,126.2,19.8,0.3,7.6,7.3,11.7
86,87,-5.0,南京工业大学,理工,[],江苏,259.5,25.7,14.1,3.7,33.4,123.9,17.6,7.7,6.5,11.3,15.7
87,88,3.0,长安大学,理工,"['一流学科', '211']",陕西,250.2,28.1,12.7,4.1,39.8,125.7,16.4,10.3,2.0,1.2,9.8
88,89,13.0,福建师范大学,师范,[],福建,248.2,27.0,22.0,3.5,30.6,126.3,15.9,1.0,5.8,5.0,11.2
89,90,0.0,安徽大学,综合,"['一流学科', '211']",安徽,243.1,26.0,19.3,3.3,31.0,128.0,17.1,0.9,3.8,3.3,10.4
90,91,2.0,南京信息工程大学,理工,['一流学科'],江苏,240.9,23.5,15.8,3.0,36.4,117.2,16.3,1.9,6.4,3.4,16.9
91,92,-3.0,上海理工大学,理工,[],上海,240.7,28.7,15.7,3.4,33.3,125.3,13.5,6.8,2.5,1.4,10.1
92,93,-5.0,华南农业大学,农业,[],广东,238.3,23.4,18.0,4.6,34.4,109.0,18.5,1.7,5.6,9.9,13.2
93,94,7.0,广西大学,综合,"['一流学科', '211']",广西,237.0,27.3,18.3,4.4,35.3,113.3,15.2,2.6,4.2,5.3,11.1
94,95,1.0,南京邮电大学,理工,['一流学科'],江苏,235.7,25.5,12.6,2.2,34.8,121.0,15.6,2.7,2.9,4.6,13.8
95,95,-3.0,燕山大学,理工,[],河北,235.7,26.7,15.5,2.7,33.8,125.8,14.2,1.7,3.2,4.0,8.1
96,97,0.0,河南大学,综合,['一流学科'],河南,234.6,24.6,22.6,3.5,33.7,109.0,19.2,2.1,3.9,4.0,12.0
97,98,-4.0,湖北大学,综合,[],湖北,232.9,23.7,14.4,2.8,35.5,120.3,12.1,5.6,3.1,3.5,11.9
98,99,1.0,广州大学,综合,[],广东,232.7,23.9,16.9,5.8,37.6,98.8,18.1,4.3,6.4,5.4,15.6
99,100,8.0,青岛大学,综合,[],山东,231.4,25.2,20.4,2.6,33.4,111.3,16.6,1.1,4.3,2.7,13.8
100,101,2.0,湘潭大学,综合,[],湖南,229.9,,,,,,,,,,
101,102,-7.0,广东工业大学,理工,[],广东,229.6,,,,,,,,,,
102,103,1.0,浙江师范大学,师范,[],浙江,229.2,,,,,,,,,,
103,104,5.0,大连海事大学,理工,"['一流学科', '211']",辽宁,228.4,,,,,,,,,,
104,105,-7.0,上海师范大学,师范,[],上海,227.3,,,,,,,,,,
105,106,-7.0,杭州电子科技大学,理工,[],浙江,226.9,,,,,,,,,,
106,107,7.0,武汉科技大学,理工,[],湖北,226.6,,,,,,,,,,
107,108,7.0,南京林业大学,林业,['一流学科'],江苏,225.3,,,,,,,,,,
108,109,-3.0,河北工业大学,理工,"['一流学科', '211']",天津,223.8,,,,,,,,,,
109,109,-4.0,山东师范大学,师范,[],山东,223.8,,,,,,,,,,
110,111,0.0,浙江理工大学,理工,[],浙江,221.8,,,,,,,,,,
111,112,4.0,山西大学,综合,[],山西,221.0,,,,,,,,,,
112,113,-1.0,太原理工大学,理工,"['一流学科', '211']",山西,219.8,,,,,,,,,,
113,114,3.0,东北林业大学,林业,"['一流学科', '211']",黑龙江,218.9,,,,,,,,,,
114,115,-8.0,河北大学,综合,[],河北,217.0,,,,,,,,,,
115,116,-4.0,东北农业大学,农业,"['一流学科', '211']",黑龙江,216.3,,,,,,,,,,
116,117,8.0,江西师范大学,师范,[],江西,215.5,,,,,,,,,,
117,117,15.0,西安建筑科技大学,理工,[],陕西,215.5,,,,,,,,,,
118,119,-10.0,杭州师范大学,师范,[],浙江,215.2,,,,,,,,,,
119,120,3.0,内蒙古大学,综合,"['一流学科', '211']",内蒙古,214.9,,,,,,,,,,
120,121,-1.0,福建农林大学,农业,[],福建,214.0,,,,,,,,,,
121,122,-1.0,江苏师范大学,师范,[],江苏,213.4,,,,,,,,,,
122,123,5.0,西安理工大学,理工,[],陕西,213.2,,,,,,,,,,
123,124,-5.0,辽宁大学,综合,"['一流学科', '211']",辽宁,212.6,,,,,,,,,,
124,125,-7.0,北京建筑大学,理工,[],北京,210.8,,,,,,,,,,
125,126,10.0,安徽师范大学,师范,[],安徽,210.5,,,,,,,,,,
126,127,16.0,河南师范大学,师范,[],河南,210.4,,,,,,,,,,
127,128,-2.0,长沙理工大学,理工,[],湖南,209.5,,,,,,,,,,
128,129,-2.0,昆明理工大学,理工,[],云南,206.7,,,,,,,,,,
129,129,24.0,新疆大学,综合,"['一流大学B类', '211']",新疆,206.7,,,,,,,,,,
130,131,-7.0,汕头大学,综合,[],广东,206.4,,,,,,,,,,
131,132,1.0,西南石油大学,理工,['一流学科'],四川,206.0,,,,,,,,,,
132,133,16.0,山东科技大学,综合,[],山东,204.5,,,,,,,,,,
133,134,21.0,河南农业大学,农业,[],河南,204.3,,,,,,,,,,
134,135,-1.0,贵州大学,综合,"['一流学科', '211']",贵州,201.7,,,,,,,,,,
135,136,-14.0,华侨大学,综合,[],福建,201.4,,,,,,,,,,
136,137,-2.0,河北师范大学,师范,[],河北,201.1,,,,,,,,,,
137,138,-8.0,黑龙江大学,综合,[],黑龙江,201.0,,,,,,,,,,
138,138,0.0,中国计量大学,理工,[],浙江,201.0,,,,,,,,,,
139,140,21.0,陕西科技大学,理工,[],陕西,198.6,,,,,,,,,,
140,141,42.0,沈阳农业大学,农业,[],辽宁,196.8,,,,,,,,,,
141,142,3.0,天津师范大学,师范,[],天津,196.5,,,,,,,,,,
142,143,-13.0,湖北工业大学,理工,[],湖北,196.3,,,,,,,,,,
143,144,4.0,海南大学,综合,"['一流学科', '211']",海南,196.2,,,,,,,,,,
144,145,-6.0,济南大学,综合,[],山东,195.4,,,,,,,,,,
145,146,20.0,山东农业大学,农业,[],山东,194.7,,,,,,,,,,
146,147,-18.0,常州大学,理工,[],江苏,194.6,,,,,,,,,,
147,147,-3.0,温州大学,综合,[],浙江,194.6,,,,,,,,,,
148,149,-12.0,重庆邮电大学,理工,[],重庆,193.7,,,,,,,,,,
149,150,31.0,齐鲁工业大学,理工,[],山东,192.6,,,,,,,,,,
150,151,13.0,曲阜师范大学,师范,[],山东,189.8,,,,,,,,,,
151,152,-1.0,武汉工程大学,理工,[],湖北,188.6,,,,,,,,,,
152,153,7.0,湖南农业大学,农业,[],湖南,187.9,,,,,,,,,,
153,154,-4.0,天津工业大学,理工,['一流学科'],天津,187.4,,,,,,,,,,
154,155,14.0,安徽农业大学,农业,[],安徽,187.0,,,,,,,,,,
155,156,-14.0,江苏科技大学,理工,[],江苏,186.8,,,,,,,,,,
156,157,2.0,浙江农林大学,林业,[],浙江,186.0,,,,,,,,,,
157,158,4.0,北方工业大学,理工,[],北京,185.7,,,,,,,,,,
158,159,-8.0,广西师范大学,师范,[],广西,184.7,,,,,,,,,,
159,160,26.0,吉林农业大学,农业,[],吉林,184.4,,,,,,,,,,
160,161,11.0,青岛科技大学,理工,[],山东,183.8,,,,,,,,,,
161,162,-21.0,四川农业大学,农业,"['一流学科', '211']",四川,183.3,,,,,,,,,,
162,162,1.0,西北师范大学,师范,[],甘肃,183.3,,,,,,,,,,
163,164,-18.0,南通大学,综合,[],江苏,183.1,,,,,,,,,,
164,165,-1.0,石河子大学,综合,"['一流学科', '211']",新疆,182.8,,,,,,,,,,
165,166,-12.0,上海海洋大学,农业,['一流学科'],上海,182.5,,,,,,,,,,
166,167,-10.0,三峡大学,综合,[],湖北,179.8,,,,,,,,,,
167,168,2.0,安徽工业大学,理工,[],安徽,178.6,,,,,,,,,,
168,169,38.0,河南理工大学,理工,[],河南,177.7,,,,,,,,,,
169,170,14.0,宁夏大学,综合,"['一流学科', '211']",宁夏,176.4,,,,,,,,,,
170,171,20.0,西安科技大学,理工,[],陕西,175.0,,,,,,,,,,
171,172,-25.0,上海海事大学,理工,[],上海,174.6,,,,,,,,,,
172,173,-17.0,成都理工大学,理工,['一流学科'],四川,174.2,,,,,,,,,,
173,174,32.0,南昌航空大学,理工,[],江西,173.7,,,,,,,,,,
174,175,1.0,长春理工大学,理工,[],吉林,172.7,,,,,,,,,,
175,176,-36.0,辽宁师范大学,师范,[],辽宁,172.5,,,,,,,,,,
176,177,25.0,西南科技大学,理工,[],四川,172.1,,,,,,,,,,
177,178,-3.0,河北农业大学,农业,[],河北,171.9,,,,,,,,,,
178,179,1.0,中北大学,理工,[],山西,171.7,,,,,,,,,,
179,180,68.0,青海大学,综合,"['一流学科', '211']",青海,171.6,,,,,,,,,,
180,181,62.0,集美大学,综合,[],福建,170.7,,,,,,,,,,
181,182,-3.0,武汉纺织大学,理工,[],湖北,170.4,,,,,,,,,,
182,183,-7.0,天津理工大学,理工,[],天津,170.3,,,,,,,,,,
183,184,-13.0,四川师范大学,师范,[],四川,170.1,,,,,,,,,,
184,185,-18.0,云南师范大学,师范,[],云南,169.6,,,,,,,,,,
185,185,6.0,浙江海洋大学,农业,[],浙江,169.6,,,,,,,,,,
186,187,-2.0,天津科技大学,理工,[],天津,169.5,,,,,,,,,,
187,188,-15.0,湖南科技大学,综合,[],湖南,169.4,,,,,,,,,,
188,189,-15.0,重庆交通大学,理工,[],重庆,169.1,,,,,,,,,,
189,190,0.0,长江大学,综合,[],湖北,168.4,,,,,,,,,,
190,191,21.0,兰州理工大学,理工,[],甘肃,168.1,,,,,,,,,,
191,191,59.0,山东理工大学,理工,[],山东,168.1,,,,,,,,,,
192,193,20.0,安徽理工大学,理工,[],安徽,167.0,,,,,,,,,,
193,193,27.0,烟台大学,综合,[],山东,167.0,,,,,,,,,,
194,195,9.0,大连工业大学,理工,[],辽宁,165.9,,,,,,,,,,
195,196,0.0,哈尔滨理工大学,理工,[],黑龙江,165.5,,,,,,,,,,
